SongTitle,Artist
Sandcastles,Beyonce
Hope You Get Lonely Tonight,Cole Swindell
Lemme See,Usher Featuring Rick Ross
Heaven,Jake Worthington
Change Locations,Drake & Future
Body 2 Body,Ace Hood Featuring Chris Brown
Shameless,The Weeknd
So Special,Lil Wayne Featuring John Legend
2 Phones,Kevin Gates
Confession,Florida Georgia Line
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared"
Strange Clouds,B.o.B Featuring Lil Wayne
Loser Like Me,Glee Cast
Lighters,Bad Meets Evil Featuring Bruno Mars
Again,Fetty Wap
A Little More Summertime,Jason Aldean
Gold On The Ceiling,The Black Keys
Fake Love,Drake
How Deep Is Your Love,Calvin Harris & Disciples
Racks,YC Featuring Future
Passionfruit,Drake
Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne"
Alone,Marshmello
Foreign,Trey Songz
Angel In Blue Jeans,Train
No Love,August Alsina
All That Matters,Justin Bieber
Shine On,Sawyer Fredericks
I Just Had Sex,The Lonely Island Featuring Akon
Let It Rain,David Nail Featuring Sarah Buxton
The Heart Of Dixie,Danielle Bradbery
When I'm Gone,Wiz Khalifa
You Don't Own Me,Grace Featuring G-Eazy
Constant Craving,Glee Cast
Loca,Shakira Featuring Dizzee Rascal
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends
3500,Travi$ Scott Featuring Future & 2 Chainz
Lean & Dabb,iLoveMemphis
Caroline,Amine
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar"
Close Your Eyes,Parmalee
Mama's Broken Heart,Miranda Lambert
Scars To Your Beautiful,Alessia Cara
Love This Life,T.I.
Luv,Tory Lanez
Take It On Back,Chase Bryant
What Makes You Beautiful,One Direction
Le Jazz Hot,Glee Cast
Royals,Lorde
If It's Love,Train
Moment 4 Life,Nicki Minaj Featuring Drake
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall
Afire Love,Ed Sheeran
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie
Regret In Your Tears,Nicki Minaj
Ai Se Eu Te Pego,Michel Telo
Uptown Girl,Glee Cast
Rocketeer,Far*East Movement Featuring Ryan Tedder
I Want You To Know,Zedd Featuring Selena Gomez
When Doves Cry,Prince
You Make Me Feel...,Cobra Starship Featuring Sabi
Dark Horse,Katy Perry Featuring Juicy J
Pop Style,Drake Featuring The Throne
Used To,Drake Featuring Lil Wayne
Jocelyn Flores,XXXTentacion
Best Friends,Sophia Grace
No Tellin',Drake
Don't Get Too High,Bryson Tiller
As Long As You're There,Glee Cast
Young & Crazy,Frankie Ballard
Back To Black,Glee Cast
Anything Goes,Florida Georgia Line
Scream & Shout,will.i.am & Britney Spears
Born To Be Somebody,Justin Bieber
Loveeeeeee Song,Rihanna Featuring Future
Never Say Never,Justin Bieber Featuring Jaden Smith
Go Get It,T.I.
Princess Of China,Coldplay Featuring Rihanna
Girls Chase Boys,Ingrid Michaelson
No Heart,21 Savage & Metro Boomin
Can't Stop Dancin',Becky G
Rich As F**k,Lil Wayne Featuring 2 Chainz
Alone Together,Fall Out Boy
Birthday Cake,Rihanna Featuring Chris Brown
No,Meghan Trainor
So Many Girls,"DJ Drama Featuring Wale, Tyga & Roscoe Dash"
Like I Loved You,Brett Young
Party,Chris Brown Featuring Usher & Gucci Mane
Adore You,Miley Cyrus
Promises,NERO
Needed Me,Rihanna
Reflektor,Arcade Fire
Chillin' Like A Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope"
Selfish,PnB Rock
A Thousand Years (Part 2),Christina Perri Featuring Steve Kazee
Rain Over Me,Pitbull Featuring Marc Anthony
The Weekend,Brantley Gilbert
Beez In The Trap,Nicki Minaj Featuring 2 Chainz
Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic"
Real Life,Jake Owen
American Oxygen,Rihanna
Karate Chop (Remix),Future Featuring Lil Wayne
Tom Ford,JAY-Z
Both Of Us,B.o.B Featuring Taylor Swift
The Race,Tay-K
Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne
The Weekend,SZA
The Fighter,Gym Class Heroes Featuring Ryan Tedder
Games,Luke Bryan
The Trouble With Girls,Scotty McCreery
The Man Who Can't Be Moved,Xenia
Dark Queen,Lil Uzi Vert
S&M,Rihanna Featuring Britney Spears
DNA.,Kendrick Lamar
Any Ol' Barstool,Jason Aldean
Darte Un Beso,Prince Royce
I Won't Let Go,Rascal Flatts
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign
If This Was A Movie,Taylor Swift
Helium,Sia
Tattoos On This Town,Jason Aldean
Somebody To Love,Glee Cast
Doin' What She Likes,Blake Shelton
Headlights,Eminem Featuring Nate Ruess
Holland Road,Mumford & Sons
Stargirl Interlude,The Weeknd Featuring Lana Del Rey
Something In The Way You Move,Ellie Goulding
It's Goin' Down,Descendants 2 Cast
Bring It Back,Travis Porter
Middle,DJ Snake Featuring Bipolar Sunshine
Hood Go Crazy,Tech N9Ne Featuring 2 Chainz & B.o.B
Dance (A$$),Big Sean Featuring Nicki Minaj
Booty Wurk (One Cheek At A Time),T-Pain Featuring Joey Galaxy
Radioactive,Kings Of Leon
You Changed Me,Jamie Foxx Featuring Chris Brown
Paradise,Big Sean
Somewhere Only We Know,Glee Cast
E.T.,Katy Perry Featuring Kanye West
Promise,Romeo Santos Featuring Usher
Blessed Up,Meek Mill
Ours,Taylor Swift
Love On The Weekend,John Mayer
Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink"
Mrs. Right,Mindless Behavior Featuring Diggy
Drummer Boy,Justin Bieber Featuring Busta Rhymes
Got 2 Luv U,Sean Paul Featuring Alexis Jordan
Selfish,Future Featuring Rihanna
Pursuit Of Happiness (Nightmare),Kid Cudi Featuring MGMT & Ratatat
Wasting All These Tears,Cassadee Pope
Be Alright,Ariana Grande
Boom,Snoop Dogg Featuring T-Pain
Downtown,Lady Antebellum
The Christmas Song (Merry Christmas To You),Nat King Cole
Beautiful Lasers (2 Ways),Lupe Fiasco Featuring MDMA
Infinity,One Direction
Lullaby,Nickelback
Otis,Jay Z Kanye West Featuring Otis Redding
Kisses Down Low,Kelly Rowland
Dangerous Woman,Ariana Grande
Patty Cake,Kodak Black
Get Her Back,Robin Thicke
Think Like A Man,Jennifer Hudson & Ne-Yo Featuring Rick Ross
Party Monster,The Weeknd
Timber,Pitbull Featuring Ke$ha
We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte
Bullets In The Gun,Toby Keith
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
Make Love,Gucci Mane & Nicki Minaj
Sunshine & Whiskey,Frankie Ballard
Scream,Usher
Strong,One Direction
Don't Wanna Go Home,Jason Derulo
Good Drank,2 Chainz x Gucci Mane x Quavo
Call On Me,Starley
21st Century Girl,Willow
Do You Wanna Touch Me (Oh Yeah),Glee Cast Featuring Gwyneth Paltrow
I Took A Pill In Ibiza,Mike Posner
American Girl,Bonnie McKee
What We Ain't Got,Jake Owen
No Lie,2 Chainz Featuring Drake
U Smile,Justin Bieber
Kids,OneRepublic
Help Is On The Way,Rise Against
Blue Notes,Meek Mill
One,Usher & Michelle Chamuel
Lay Me Down,Sam Smith
4:44,JAY-Z
Sanctified,Rick Ross Featuring Kanye West & Big Sean
It Girl,Jason Derulo
Leave The Night On,Sam Hunt
Please Don't Go,Mike Posner
Somewhere On A Beach,Dierks Bentley
Memories,David Guetta Featuring Kid Cudi
When We Stand Together,Nickelback
Have Yourself A Merry Little Christmas,Sam Smith
Bag Of Money,"Wale Featuring Rick Ross, Meek Mill & T-Pain"
Hello,Martin Solveig & Dragonette
Tonight Tonight,Hot Chelle Rae
Story Of My Life,One Direction
Drive,Miley Cyrus
I Like It Like That,Hot Chelle Rae Featuring New Boyz
Redbone,Childish Gambino
Peter Pan,Kelsea Ballerini
(Kissed You) Good Night,Gloriana
Wildest Dreams,Taylor Swift
Burn Slow,Wiz Khalifa Featuring Rae Sremmurd
Classic,MKTO
No Church In The Wild,Jay Z Kanye West Featuring Frank Ocean
Homegrown Honey,Darius Rucker
Helluva Life,Frankie Ballard
She's Mine Pt.1,J. Cole
Often,The Weeknd
Mutha***** Up,Tyga Featuring Nicki Minaj
Animal,Neon Trees
Watch Me,Silento
Walking On A Dream,Empire Of The Sun
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
The Blacker The Berry,Kendrick Lamar
Not A Bad Thing,Justin Timberlake
Young And Beautiful,Lana Del Rey
Digital Dash,Drake & Future
A Little Bit Stronger,Sara Evans
I Don't Get Tired (#IDGT),Kevin Gates Featuring August Alsina
Monster,Paramore
Perfect,Ed Sheeran
Burn It Down,Linkin Park
Die In Your Arms,Justin Bieber
Just Can't Get Enough,The Black Eyed Peas
Sledgehammer,Fifth Harmony
Love Is An Open Door,Kristen Bell & Santino Fontana
I Won't Give Up,Jason Mraz
Girls Talk Boys,5 Seconds Of Summer
Don't Go Breaking My Heart,Glee Cast
For The First Time In Forever,Kristen Bell & Idina Menzel
Remedy,Adele
Super Trapper,Future
Cost Of Livin',Ronnie Dunn
Know Yourself,Drake
Gucci Gang,Lil Pump
Comfortable,K Camp
Let It Go,Idina Menzel
Flicka Da Wrist,Chedda Da Connect
Shake Senora,Pitbull Featuring T-Pain & Sean Paul
Far Away,Marsha Ambrosius
Brother,NEEDTOBREATHE Featuring Gavin DeGraw
THat Part,ScHoolboy Q Featuring Kanye West
Owe Me,Big Sean
Wasted Time,Keith Urban
Look At Me!,XXXTentacion
Want U Back,Cher Lloyd
Only One,Kanye West Featuring Paul McCartney
Ville Mentality,J. Cole
Skepta Interlude,Drake
Firestone,Kygo Featuring Conrad
Don't Stop,Glee Cast
My Way,Fetty Wap Featuring Monty
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan
Hallelujah,Panic! At The Disco
4 Your Eyez Only,J. Cole
