SongTitle,Title,PeakPos
All I Know,The Weeknd Featuring Future,46
For Her,Chris Lane,92
It Ain't My Fault,Brothers Osborne,79
Butterfly Effect,Travis Scott,51
Shout Out To My Ex,Little Mix,69
Water,Ugly God,80
Do I Make You Wanna,Billy Currington,47
It's The Most Wonderful Time Of The Year,Andy Williams,48
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,32
How Would You Feel (Paean),Ed Sheeran,41
How Far I'll Go,Auli'i Cravalho,56
X,21 Savage & Metro Boomin Featuring Future,81
Yeah Boy,Kelsea Ballerini,65
The Weekend,Brantley Gilbert,64
Owe Me,Big Sean,86
I Met A Girl,William Michael Morgan,60
The Way Life Goes,Lil Uzi Vert,39
Somethin Tells Me,Bryson Tiller,74
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1
Good Life,G-Eazy & Kehlani,59
Helium,Sia,71
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,86
Just Like Fire,P!nk,10
Self-Made,Bryson Tiller,85
Strangers,Halsey Featuring Lauren Jauregui,100
Tell Me You Love Me,Demi Lovato,97
Fake Love,Drake,8
They Don't Know,Jason Aldean,67
No Promises,A Boogie Wit da Hoodie,74
Smooth,Florida Georgia Line,91
Come And See Me,PARTYNEXTDOOR Featuring Drake,55
Drinkin' Problem,Midland,45
Hi Bich,Bhad Bhabie,68
Found You,Kane Brown,80
Sorry Not Sorry,Demi Lovato,6
Fresh Eyes,Andy Grammer,59
Dark Queen,Lil Uzi Vert,91
Jump Out The Window,Big Sean,76
Changed It,Nicki Minaj & Lil Wayne,71
I Don't,Mariah Carey Featuring YG,89
Black SpiderMan,Logic Featuring Damian Lemar Hudson,87
Dear Hate,Maren Morris Featuring Vince Gill,91
Kill A Word,Eric Church Featuring Rhiannon Giddens,71
Too Good At Goodbyes,Sam Smith,5
Light,Big Sean Featuring Jeremih,97
Distraction,Kehlani,85
Sleep Without You,Brett Young,47
Moves,Big Sean,38
A Holly Jolly Christmas,Burl Ives,46
How I'll Always Be,Tim McGraw,70
You Da Baddest,Future Featuring Nicki Minaj,38
Regret In Your Tears,Nicki Minaj,61
Everybody,Logic,59
444+222,Lil Uzi Vert,60
DNA.,Kendrick Lamar,4
Road Less Traveled,Lauren Alaina,67
Chillin' Like A Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope",95
Issues,Meek Mill,77
Call Casting,Migos,62
4 AM,2 Chainz Featuring Travis Scott,55
Fade,Kanye West,47
Deja Vu,Lauren Duski,75
Wins & Losses,Meek Mill,79
We The People....,A Tribe Called Quest,77
Family Feud,JAY-Z Featuring Beyonce,51
This Is What You Came For,Calvin Harris Featuring Rihanna,3
Froze,Meek Mill Featuring Lil Uzi Vert & Nicki Minaj,68
4422,Drake Featuring Sampha,50
Conscience,Kodak Black Featuring Future,93
She's Mine Pt. 2,J. Cole,34
Nothing Without You,The Weeknd,68
Feel.,Kendrick Lamar,35
Wish I Knew You,The Revivalists,84
Unforgettable,French Montana Featuring Swae Lee,47
Better Man,Little Big Town,34
Castle On The Hill,Ed Sheeran,6
The Christmas Song (Merry Christmas To You),Nat King Cole,38
Greatest Love Story,LANCO,51
May We All,Florida Georgia Line Featuring Tim McGraw,30
Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,79
Careless Whisper,Wham! Featuring George Michael,1
Nothings Into Somethings,Drake,61
Last Christmas,Wham!,41
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,6
Younger Now,Miley Cyrus,79
Patty Cake,Kodak Black,76
4 Your Eyez Only,J. Cole,29
I Fall Apart,Post Malone,28
These Heaux,Bhad Bhabie,77
Relationship,Young Thug Featuring Future,65
Rake It Up,Yo Gotti Featuring Nicki Minaj,8
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,2
Bar At The End Of The World,Kenny Chesney,92
Loyalty.,Kendrick Lamar Featuring Rihanna,14
Sober Saturday Night,Chris Young Featuring Vince Gill,47
More Girls Like You,Kip Moore,66
No Complaints,Metro Boomin Featuring Offset & Drake,71
Swish Swish,Katy Perry Featuring Nicki Minaj,46
Run Me Dry,Bryson Tiller,91
Blue Ain't Your Color,Keith Urban,24
What About Us,P!nk,13
Darlin' Don't Go,Sundance Head,67
My Way,Calvin Harris,24
Thunder,Imagine Dragons,5
Controlla,Drake,16
Fear.,Kendrick Lamar,50
OMG,Camila Cabello Featuring Quavo,81
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,5
Halfway Off The Balcony,Big Sean,74
Dirty Laundry,Carrie Underwood,48
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,50
"Wat U Mean (Aye, Aye, Aye)",Dae Dae,66
Any Ol' Barstool,Jason Aldean,52
Both,Gucci Mane Featuring Drake,41
You Don't Own Me,Grace Featuring G-Eazy,57
Madiba Riddim,Drake,51
Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,68
Draco,Future,46
Comin Out Strong,Future Featuring The Weeknd,48
Boy,Lee Brice,94
My Sh*t,A Boogie Wit da Hoodie,86
There For You,Martin Garrix x Troye Sivan,94
Liability,Lorde,78
Gold,Kiiara,13
Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,86
Treat You Better,Shawn Mendes,6
Havana,Camila Cabello Featuring Young Thug,7
Selfish,Future Featuring Rihanna,51
Different For Girls,Dierks Bentley Featuring Elle King,42
Rockin',The Weeknd,44
Felices Los 4,Maluma,48
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,60
Blessed Up,Meek Mill,97
Body Like A Back Road,Sam Hunt,6
Million Reasons,Lady Gaga,4
I Feel It Coming,The Weeknd Featuring Daft Punk,4
Selfish,PnB Rock,51
Love To Lay,The Weeknd,71
"Two Birds, One Stone",Drake,73
Paris,The Chainsmokers,6
Marcy Me,JAY-Z,90
Crying In The Club,Camila Cabello,47
What Ifs,Kane Brown Featuring Lauren Alaina,26
Mask Off,Future,5
Love,Lana Del Rey,44
Privacy,Chris Brown,62
Get Right Witcha,Migos,72
False Alarm,The Weeknd,55
Revenge,XXXTentacion,77
Dive,Ed Sheeran,49
Ice Melts,Drake Featuring Young Thug,62
Glorious,Macklemore Featuring Skylar Grey,49
B.E.D.,Jacquees,69
Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin",77
Slow Hands,Niall Horan,11
Say You Won't Let Go,James Arthur,11
Extra Luv,Future Featuring YG,99
Perplexing Pegasus,Rae Sremmurd,84
Let Me Love You,DJ Snake Featuring Justin Bieber,4
Bom Bidi Bom,Nick Jonas & Nicki Minaj,54
Two,Lil Uzi Vert,80
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",54
Down,Marian Hill,42
"Sit Still, Look Pretty",Daya,28
Curve,Gucci Mane Featuring The Weeknd,67
Love On The Brain,Rihanna,5
Die For You,The Weeknd,43
New Rules,Dua Lipa,34
Make Me (Cry),Noah Cyrus Featuring Labrinth,46
In The End,Linkin Park,2
Shaky Shaky,Daddy Yankee,88
Can't Have Everything,Drake,82
To The Max,DJ Khaled Featuring Drake,53
Swang,Rae Sremmurd,26
Heavy Heart,Meek Mill,99
Do Not Disturb,Drake,60
Play That Song,Train,41
A Guy With A Girl,Blake Shelton,42
Starboy,The Weeknd Featuring Daft Punk,1
Party,Chris Brown Featuring Usher & Gucci Mane,40
Everyday We Lit,YFN Lucci Featuring PnB Rock,33
Neighbors,J. Cole,13
Skepta Interlude,Drake,76
I Know Somebody,LOCASH,52
Parachute,Chris Stapleton,78
Deja Vu,J. Cole,75
No Such Thing As A Broken Heart,Old Dominion,46
Move,Luke Bryan,50
All The Pretty Girls,Kenny Chesney,63
Go Flex,Post Malone,76
I Could Use A Love Song,Maren Morris,83
No Limit,Usher Featuring Young Thug,32
No Promises,Cheat Codes Featuring Demi Lovato,74
Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage,84
Guys My Age,Hey Violet,68
There's Nothing Holdin' Me Back,Shawn Mendes,6
Gyalchester,Drake,29
True Colors,The Weeknd,48
The Night We Met,Lord Huron,84
Black Beatles,Rae Sremmurd Featuring Gucci Mane,1
The Dance,Lauren Duski,92
Praying,Kesha,22
Blow Your Mind (Mwah),Dua Lipa,72
Me And Your Mama,Childish Gambino,68
You Was Right,Lil Uzi Vert,40
Mi Gente,J Balvin & Willy William Featuring Beyonce,3
The Cure,Lady Gaga,39
Look What You Made Me Do,Taylor Swift,1
In The Name Of Love,Martin Garrix & Bebe Rexha,24
Versace On The Floor,Bruno Mars,33
Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,86
Weak,AJR,73
