acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_title,artist_name
0.446,https://api.spotify.com/v1/audio-analysis/0NWqNXBJTpXbkI5rPWNy3p,0.64,321027,0.423,0.000151,8,0.095,-10.567,0,0.0657,120.029,4,0.168,All I Know,The Weeknd Featuring Future
0.00155,https://api.spotify.com/v1/audio-analysis/08wJ1B9yu9sPeoRa5fbpr3,0.723,216800,0.824,0.167,11,0.333,-5.911,0,0.0331,123.011,4,0.757,It Ain't My Fault,Brothers Osborne
0.0714,https://api.spotify.com/v1/audio-analysis/1yxgsra98r3qAtxqiGZPiX,0.763,190678,0.598,0,11,0.112,-6.865,1,0.0539,140.987,4,0.184,Butterfly Effect,Travis Scott
0.0316,https://api.spotify.com/v1/audio-analysis/0YHUITU3w6ws1v8ehT264g,0.774,246240,0.739,0.00000595,0,0.119,-4.022,1,0.0952,126.002,4,0.816,Shout Out To My Ex,Little Mix
0.274,https://api.spotify.com/v1/audio-analysis/7r6LNJT2LqpLpEyZQJPygt,0.86,189480,0.561,0,6,0.108,-5.757,0,0.185,152.984,4,0.354,Water,Ugly God
0.122,https://api.spotify.com/v1/audio-analysis/3I7krC8kr0gFR7P6vInR1I,0.549,234306,0.751,0,9,0.208,-5.423,1,0.0299,89.953,4,0.505,Do I Make You Wanna,Billy Currington
0.766,https://api.spotify.com/v1/audio-analysis/5hslUAKq9I9CG2bAulFkHN,0.24,151933,0.598,0,7,0.117,-8.435,1,0.037,202.082,3,0.755,It's The Most Wonderful Time Of The Year,Andy Williams
0.0199,https://api.spotify.com/v1/audio-analysis/2Xqd0wUttjueBfdcltADOv,0.837,211006,0.791,0,1,0.0836,-3.824,1,0.251,176.003,4,0.379,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B
0.424,https://api.spotify.com/v1/audio-analysis/6PJ8FF6UR8FZXfEvpHkIVN,0.617,280533,0.439,0,9,0.127,-5.63,1,0.0269,139.979,4,0.242,How Would You Feel (Paean),Ed Sheeran
0.603,https://api.spotify.com/v1/audio-analysis/6mb6lVLNrcUgLnEN8QnDJd,0.576,163387,0.319,0,4,0.173,-10.934,1,0.0518,83.632,4,0.114,How Far I'll Go,Auli'i Cravalho
0.0043,https://api.spotify.com/v1/audio-analysis/5tRmoZRoupvMYPV1oezFrH,0.623,173798,0.58,0,8,0.394,-7.076,1,0.332,163.159,4,0.301,X,21 Savage & Metro Boomin Featuring Future
0.231,https://api.spotify.com/v1/audio-analysis/2WaOQWSv0D1tZNxyLvnGAI,0.589,194413,0.809,0,3,0.0719,-5.292,1,0.0376,88.965,4,0.464,Yeah Boy,Kelsea Ballerini
0.241,https://api.spotify.com/v1/audio-analysis/6gU9OKjOE7ghfEd55oRO57,0.487,272187,0.366,0,8,0.126,-9.405,0,0.0531,68.191,5,0.171,The Weekend,Brantley Gilbert
0.388,https://api.spotify.com/v1/audio-analysis/1u0MOgWF1bbylVxpJG2ZjB,0.611,271693,0.611,0,8,0.113,-8.751,1,0.143,142.187,4,0.378,Owe Me,Big Sean
0.9,https://api.spotify.com/v1/audio-analysis/3oBxf3KvflYpaFSR4S3wKv,0.41,173267,0.637,0,6,0.118,-7.932,1,0.0515,86.967,4,0.53,I Met A Girl,William Michael Morgan
0.617,https://api.spotify.com/v1/audio-analysis/2eAZfqOm4EnOF9VvN50Tyc,0.703,221747,0.757,0,1,0.106,-3.612,1,0.05,82.008,4,0.696,The Way Life Goes,Lil Uzi Vert
0.0356,https://api.spotify.com/v1/audio-analysis/3Jrs7cC2OJNlNSy9VnDOMZ,0.735,194267,0.588,0,5,0.107,-7.197,0,0.226,90.002,4,0.417,Somethin Tells Me,Bryson Tiller
0.0533,https://api.spotify.com/v1/audio-analysis/1jYiIOC5d6soxkJP81fxq2,0.599,288877,0.667,0,7,0.134,-4.267,1,0.0367,80.984,4,0.811,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"
0.00464,https://api.spotify.com/v1/audio-analysis/1Eck97uRMlprKOOJN9oO1E,0.565,225526,0.771,0,1,0.0568,-5.22,1,0.212,168.385,4,0.551,Good Life,G-Eazy & Kehlani
0.51,https://api.spotify.com/v1/audio-analysis/4S6fv0puLCsfYjyBTPDb9k,0.435,252320,0.401,0,4,0.077,-6.721,1,0.0301,136.837,4,0.133,Helium,Sia
