,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist_name,PeakPos
0,0.446,https://api.spotify.com/v1/audio-analysis/0NWqNXBJTpXbkI5rPWNy3p,0.64,321027,0.423,0NWqNXBJTpXbkI5rPWNy3p,0.000151,8,0.095,-10.567,0,0.0657,120.029,4,https://api.spotify.com/v1/tracks/0NWqNXBJTpXbkI5rPWNy3p,audio_features,spotify:track:0NWqNXBJTpXbkI5rPWNy3p,0.168,All I Know,The Weeknd Featuring Future,46
0,0.0993,https://api.spotify.com/v1/audio-analysis/6VB64hpnpRNqukYsIX76uo,0.51,211227,0.904,6VB64hpnpRNqukYsIX76uo,0.0,6,0.173,-4.291,1,0.0357,150.004,4,https://api.spotify.com/v1/tracks/6VB64hpnpRNqukYsIX76uo,audio_features,spotify:track:6VB64hpnpRNqukYsIX76uo,0.542,For Her,Chris Lane,92
0,0.00155,https://api.spotify.com/v1/audio-analysis/08wJ1B9yu9sPeoRa5fbpr3,0.723,216800,0.824,08wJ1B9yu9sPeoRa5fbpr3,0.167,11,0.333,-5.911,0,0.0331,123.011,4,https://api.spotify.com/v1/tracks/08wJ1B9yu9sPeoRa5fbpr3,audio_features,spotify:track:08wJ1B9yu9sPeoRa5fbpr3,0.757,It Ain't My Fault,Brothers Osborne,79
0,0.0714,https://api.spotify.com/v1/audio-analysis/1yxgsra98r3qAtxqiGZPiX,0.763,190678,0.598,1yxgsra98r3qAtxqiGZPiX,0.0,11,0.112,-6.865,1,0.0539,140.987,4,https://api.spotify.com/v1/tracks/1yxgsra98r3qAtxqiGZPiX,audio_features,spotify:track:1yxgsra98r3qAtxqiGZPiX,0.184,Butterfly Effect,Travis Scott,51
0,0.0316,https://api.spotify.com/v1/audio-analysis/0YHUITU3w6ws1v8ehT264g,0.774,246240,0.739,0YHUITU3w6ws1v8ehT264g,5.95e-06,0,0.119,-4.022,1,0.0952,126.002,4,https://api.spotify.com/v1/tracks/0YHUITU3w6ws1v8ehT264g,audio_features,spotify:track:0YHUITU3w6ws1v8ehT264g,0.816,Shout Out To My Ex,Little Mix,69
0,0.274,https://api.spotify.com/v1/audio-analysis/7r6LNJT2LqpLpEyZQJPygt,0.86,189480,0.561,7r6LNJT2LqpLpEyZQJPygt,0.0,6,0.108,-5.757,0,0.185,152.984,4,https://api.spotify.com/v1/tracks/7r6LNJT2LqpLpEyZQJPygt,audio_features,spotify:track:7r6LNJT2LqpLpEyZQJPygt,0.354,Water,Ugly God,80
0,0.122,https://api.spotify.com/v1/audio-analysis/3I7krC8kr0gFR7P6vInR1I,0.549,234306,0.751,3I7krC8kr0gFR7P6vInR1I,0.0,9,0.208,-5.423,1,0.0299,89.953,4,https://api.spotify.com/v1/tracks/3I7krC8kr0gFR7P6vInR1I,audio_features,spotify:track:3I7krC8kr0gFR7P6vInR1I,0.505,Do I Make You Wanna,Billy Currington,47
0,0.766,https://api.spotify.com/v1/audio-analysis/5hslUAKq9I9CG2bAulFkHN,0.24,151933,0.598,5hslUAKq9I9CG2bAulFkHN,0.0,7,0.117,-8.435,1,0.037,202.082,3,https://api.spotify.com/v1/tracks/5hslUAKq9I9CG2bAulFkHN,audio_features,spotify:track:5hslUAKq9I9CG2bAulFkHN,0.755,It's The Most Wonderful Time Of The Year,Andy Williams,48
0,0.0199,https://api.spotify.com/v1/audio-analysis/2Xqd0wUttjueBfdcltADOv,0.837,211006,0.791,2Xqd0wUttjueBfdcltADOv,0.0,1,0.0836,-3.824,1,0.251,176.003,4,https://api.spotify.com/v1/tracks/2Xqd0wUttjueBfdcltADOv,audio_features,spotify:track:2Xqd0wUttjueBfdcltADOv,0.379,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,32
0,0.424,https://api.spotify.com/v1/audio-analysis/6PJ8FF6UR8FZXfEvpHkIVN,0.617,280533,0.439,6PJ8FF6UR8FZXfEvpHkIVN,0.0,9,0.127,-5.63,1,0.0269,139.979,4,https://api.spotify.com/v1/tracks/6PJ8FF6UR8FZXfEvpHkIVN,audio_features,spotify:track:6PJ8FF6UR8FZXfEvpHkIVN,0.242,How Would You Feel (Paean),Ed Sheeran,41
0,0.603,https://api.spotify.com/v1/audio-analysis/6mb6lVLNrcUgLnEN8QnDJd,0.576,163387,0.319,6mb6lVLNrcUgLnEN8QnDJd,0.0,4,0.173,-10.934,1,0.0518,83.632,4,https://api.spotify.com/v1/tracks/6mb6lVLNrcUgLnEN8QnDJd,audio_features,spotify:track:6mb6lVLNrcUgLnEN8QnDJd,0.114,How Far I'll Go,Auli'i Cravalho,56
0,0.0043,https://api.spotify.com/v1/audio-analysis/5tRmoZRoupvMYPV1oezFrH,0.623,173798,0.58,5tRmoZRoupvMYPV1oezFrH,0.0,8,0.394,-7.076,1,0.332,163.159,4,https://api.spotify.com/v1/tracks/5tRmoZRoupvMYPV1oezFrH,audio_features,spotify:track:5tRmoZRoupvMYPV1oezFrH,0.301,X,21 Savage & Metro Boomin Featuring Future,81
0,0.231,https://api.spotify.com/v1/audio-analysis/2WaOQWSv0D1tZNxyLvnGAI,0.589,194413,0.809,2WaOQWSv0D1tZNxyLvnGAI,0.0,3,0.0719,-5.292,1,0.0376,88.965,4,https://api.spotify.com/v1/tracks/2WaOQWSv0D1tZNxyLvnGAI,audio_features,spotify:track:2WaOQWSv0D1tZNxyLvnGAI,0.464,Yeah Boy,Kelsea Ballerini,65
0,0.241,https://api.spotify.com/v1/audio-analysis/6gU9OKjOE7ghfEd55oRO57,0.487,272187,0.366,6gU9OKjOE7ghfEd55oRO57,0.0,8,0.126,-9.405,0,0.0531,68.191,5,https://api.spotify.com/v1/tracks/6gU9OKjOE7ghfEd55oRO57,audio_features,spotify:track:6gU9OKjOE7ghfEd55oRO57,0.171,The Weekend,Brantley Gilbert,64
0,0.388,https://api.spotify.com/v1/audio-analysis/1u0MOgWF1bbylVxpJG2ZjB,0.611,271693,0.611,1u0MOgWF1bbylVxpJG2ZjB,0.0,8,0.113,-8.751,1,0.143,142.187,4,https://api.spotify.com/v1/tracks/1u0MOgWF1bbylVxpJG2ZjB,audio_features,spotify:track:1u0MOgWF1bbylVxpJG2ZjB,0.378,Owe Me,Big Sean,86
0,0.9,https://api.spotify.com/v1/audio-analysis/3oBxf3KvflYpaFSR4S3wKv,0.41,173267,0.637,3oBxf3KvflYpaFSR4S3wKv,0.0,6,0.118,-7.932,1,0.0515,86.967,4,https://api.spotify.com/v1/tracks/3oBxf3KvflYpaFSR4S3wKv,audio_features,spotify:track:3oBxf3KvflYpaFSR4S3wKv,0.53,I Met A Girl,William Michael Morgan,60
0,0.617,https://api.spotify.com/v1/audio-analysis/2eAZfqOm4EnOF9VvN50Tyc,0.703,221747,0.757,2eAZfqOm4EnOF9VvN50Tyc,0.0,1,0.106,-3.612,1,0.05,82.008,4,https://api.spotify.com/v1/tracks/2eAZfqOm4EnOF9VvN50Tyc,audio_features,spotify:track:2eAZfqOm4EnOF9VvN50Tyc,0.696,The Way Life Goes,Lil Uzi Vert,39
0,0.0356,https://api.spotify.com/v1/audio-analysis/3Jrs7cC2OJNlNSy9VnDOMZ,0.735,194267,0.588,3Jrs7cC2OJNlNSy9VnDOMZ,0.0,5,0.107,-7.197,0,0.226,90.002,4,https://api.spotify.com/v1/tracks/3Jrs7cC2OJNlNSy9VnDOMZ,audio_features,spotify:track:3Jrs7cC2OJNlNSy9VnDOMZ,0.417,Somethin Tells Me,Bryson Tiller,74
0,0.0533,https://api.spotify.com/v1/audio-analysis/1jYiIOC5d6soxkJP81fxq2,0.599,288877,0.667,1jYiIOC5d6soxkJP81fxq2,0.0,7,0.134,-4.267,1,0.0367,80.984,4,https://api.spotify.com/v1/tracks/1jYiIOC5d6soxkJP81fxq2,audio_features,spotify:track:1jYiIOC5d6soxkJP81fxq2,0.811,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1
0,0.00464,https://api.spotify.com/v1/audio-analysis/1Eck97uRMlprKOOJN9oO1E,0.565,225526,0.771,1Eck97uRMlprKOOJN9oO1E,0.0,1,0.0568,-5.22,1,0.212,168.385,4,https://api.spotify.com/v1/tracks/1Eck97uRMlprKOOJN9oO1E,audio_features,spotify:track:1Eck97uRMlprKOOJN9oO1E,0.551,Good Life,G-Eazy & Kehlani,59
0,0.51,https://api.spotify.com/v1/audio-analysis/4S6fv0puLCsfYjyBTPDb9k,0.435,252320,0.401,4S6fv0puLCsfYjyBTPDb9k,0.0,4,0.077,-6.721,1,0.0301,136.837,4,https://api.spotify.com/v1/tracks/4S6fv0puLCsfYjyBTPDb9k,audio_features,spotify:track:4S6fv0puLCsfYjyBTPDb9k,0.133,Helium,Sia,71
0,0.261,https://api.spotify.com/v1/audio-analysis/0q5DrtpnnGpOvBy5nnPMbe,0.569,184000,0.761,0q5DrtpnnGpOvBy5nnPMbe,6.71e-06,5,0.0748,-6.071,0,0.475,180.122,4,https://api.spotify.com/v1/tracks/0q5DrtpnnGpOvBy5nnPMbe,audio_features,spotify:track:0q5DrtpnnGpOvBy5nnPMbe,0.321,Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,86
0,0.0114,https://api.spotify.com/v1/audio-analysis/7K5dzhGda2vRTaAWYI3hrb,0.632,215414,0.701,7K5dzhGda2vRTaAWYI3hrb,0.0,7,0.108,-5.921,1,0.146,162.958,4,https://api.spotify.com/v1/tracks/7K5dzhGda2vRTaAWYI3hrb,audio_features,spotify:track:7K5dzhGda2vRTaAWYI3hrb,0.488,Just Like Fire,P!nk,10
0,0.00304,https://api.spotify.com/v1/audio-analysis/2rUwQj4SWaP2anuGDtNpYR,0.932,167853,0.702,2rUwQj4SWaP2anuGDtNpYR,1.87e-05,7,0.267,-3.459,0,0.0903,143.001,4,https://api.spotify.com/v1/tracks/2rUwQj4SWaP2anuGDtNpYR,audio_features,spotify:track:2rUwQj4SWaP2anuGDtNpYR,0.529,Self-Made,Bryson Tiller,85
0,0.0124,https://api.spotify.com/v1/audio-analysis/11EDhDAVDtGPoSar6ootYA,0.695,221206,0.788,11EDhDAVDtGPoSar6ootYA,2.2e-05,11,0.205,-4.79,1,0.0592,109.985,4,https://api.spotify.com/v1/tracks/11EDhDAVDtGPoSar6ootYA,audio_features,spotify:track:11EDhDAVDtGPoSar6ootYA,0.289,Strangers,Halsey Featuring Lauren Jauregui,100
0,0.0223,https://api.spotify.com/v1/audio-analysis/3Du2K5dLzmduCNp6uwuaL0,0.702,203760,0.635,3Du2K5dLzmduCNp6uwuaL0,0.0,11,0.283,-6.917,0,0.265,144.004,4,https://api.spotify.com/v1/tracks/3Du2K5dLzmduCNp6uwuaL0,audio_features,spotify:track:3Du2K5dLzmduCNp6uwuaL0,0.873,Tell Me You Love Me,Demi Lovato,97
0,0.108,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,0.927,210937,0.488,343YBumqHu19cGoGARUTsd,0.0,9,0.196,-9.433,0,0.42,133.987,4,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,audio_features,spotify:track:343YBumqHu19cGoGARUTsd,0.599,Fake Love,Drake,8
0,0.0207,https://api.spotify.com/v1/audio-analysis/3bzE57iNavJJxXL9GgBiOK,0.434,195307,0.921,3bzE57iNavJJxXL9GgBiOK,0.00209,10,0.116,-2.248,0,0.0688,171.945,4,https://api.spotify.com/v1/tracks/3bzE57iNavJJxXL9GgBiOK,audio_features,spotify:track:3bzE57iNavJJxXL9GgBiOK,0.426,They Don't Know,Jason Aldean,67
0,0.0583,https://api.spotify.com/v1/audio-analysis/5lNuqFVMca4vPupY10cH0J,0.736,223387,0.613,5lNuqFVMca4vPupY10cH0J,0.0,10,0.11,-6.985,1,0.175,112.951,4,https://api.spotify.com/v1/tracks/5lNuqFVMca4vPupY10cH0J,audio_features,spotify:track:5lNuqFVMca4vPupY10cH0J,0.568,No Promises,A Boogie Wit da Hoodie,74
0,0.214,https://api.spotify.com/v1/audio-analysis/31x4wWBghN7f5PiEZUmcAW,0.471,170200,0.848,31x4wWBghN7f5PiEZUmcAW,1.84e-05,6,0.658,-5.355,1,0.0538,161.049,4,https://api.spotify.com/v1/tracks/31x4wWBghN7f5PiEZUmcAW,audio_features,spotify:track:31x4wWBghN7f5PiEZUmcAW,0.319,Smooth,Florida Georgia Line,91
0,0.0511,https://api.spotify.com/v1/audio-analysis/1wZqJM5FGDEl3FjHDxDyQd,0.717,235477,0.347,1wZqJM5FGDEl3FjHDxDyQd,2.43e-06,11,0.087,-10.265,0,0.0636,84.987,4,https://api.spotify.com/v1/tracks/1wZqJM5FGDEl3FjHDxDyQd,audio_features,spotify:track:1wZqJM5FGDEl3FjHDxDyQd,0.0593,Come And See Me,PARTYNEXTDOOR Featuring Drake,55
0,0.0538,https://api.spotify.com/v1/audio-analysis/1vBpwxsLVwaR4evBIaFmqD,0.628,220800,0.761,1vBpwxsLVwaR4evBIaFmqD,3.74e-06,9,0.312,-6.377,1,0.0277,102.019,4,https://api.spotify.com/v1/tracks/1vBpwxsLVwaR4evBIaFmqD,audio_features,spotify:track:1vBpwxsLVwaR4evBIaFmqD,0.64,Drinkin' Problem,Midland,45
0,0.156,https://api.spotify.com/v1/audio-analysis/5JW8njiQorZ7m2VHYddTt6,0.924,104528,0.387,5JW8njiQorZ7m2VHYddTt6,0.000331,8,0.0973,-7.738,1,0.115,120.014,4,https://api.spotify.com/v1/tracks/5JW8njiQorZ7m2VHYddTt6,audio_features,spotify:track:5JW8njiQorZ7m2VHYddTt6,0.0624,Hi Bich,Bhad Bhabie,68
0,0.0528,https://api.spotify.com/v1/audio-analysis/2OFvjqQ5xHaWqH3EQ4K3S9,0.46,191733,0.821,2OFvjqQ5xHaWqH3EQ4K3S9,0.0,4,0.0818,-5.333,0,0.0404,164.144,4,https://api.spotify.com/v1/tracks/2OFvjqQ5xHaWqH3EQ4K3S9,audio_features,spotify:track:2OFvjqQ5xHaWqH3EQ4K3S9,0.438,Found You,Kane Brown,80
