,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist_name,PeakPos,Popularity,Followers
0,0.118,https://api.spotify.com/v1/audio-analysis/33i3xxHB4YSYGYbtJrwwO8,0.734,194080,0.671,33i3xxHB4YSYGYbtJrwwO8,0.00317,1,0.352,-7.107,1,0.0315,94.025,4,https://api.spotify.com/v1/tracks/33i3xxHB4YSYGYbtJrwwO8,audio_features,spotify:track:33i3xxHB4YSYGYbtJrwwO8,0.113,Forward,Beyonce Featuring James Blake,63,84,1413150
0,0.0076,https://api.spotify.com/v1/audio-analysis/3Q2tKt6gKdn9LUMcHFxNJy,0.555,234693,0.834,3Q2tKt6gKdn9LUMcHFxNJy,0.0,7,0.08,-4.697,1,0.0729,125.809,4,https://api.spotify.com/v1/tracks/3Q2tKt6gKdn9LUMcHFxNJy,audio_features,spotify:track:3Q2tKt6gKdn9LUMcHFxNJy,0.467,Raging Fire,Phillip Phillips,58,68,381344
0,0.034,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,0.818,225983,0.803,6b8Be6ljOzmkOmFslEb23P,0.0,1,0.153,-4.282,1,0.0797,106.97,4,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,audio_features,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.632,24K Magic,Bruno Mars,4,92,8660971
0,0.0581,https://api.spotify.com/v1/audio-analysis/2c8sgbZoEanC3QyFNZxUcA,0.772,218947,0.701,2c8sgbZoEanC3QyFNZxUcA,0.00159,0,0.106,-6.605,0,0.0724,159.954,4,https://api.spotify.com/v1/tracks/2c8sgbZoEanC3QyFNZxUcA,audio_features,spotify:track:2c8sgbZoEanC3QyFNZxUcA,0.69,Flexicution,Logic,100,92,1753936
0,0.198,https://api.spotify.com/v1/audio-analysis/06FCvd7rrRcF3DdvWH5Isp,0.651,307880,0.562,06FCvd7rrRcF3DdvWH5Isp,0.0,3,0.108,-9.431,0,0.515,94.011,4,https://api.spotify.com/v1/tracks/06FCvd7rrRcF3DdvWH5Isp,audio_features,spotify:track:06FCvd7rrRcF3DdvWH5Isp,0.581,Lust.,Kendrick Lamar,42,96,6302022
0,0.439,https://api.spotify.com/v1/audio-analysis/3wxgj5N8ZKoZWHDw6FJUf2,0.576,198733,0.355,3wxgj5N8ZKoZWHDw6FJUf2,4.55e-05,1,0.13,-8.388,1,0.033,137.232,4,https://api.spotify.com/v1/tracks/3wxgj5N8ZKoZWHDw6FJUf2,audio_features,spotify:track:3wxgj5N8ZKoZWHDw6FJUf2,0.299,Like Jesus Does,Eric Church,59,78,1087196
0,0.06,https://api.spotify.com/v1/audio-analysis/7y9iMe8SOB6z3NoHE2OfXl,0.675,181279,0.736,7y9iMe8SOB6z3NoHE2OfXl,0.0,0,0.0879,-3.604,1,0.0302,118.369,4,https://api.spotify.com/v1/tracks/7y9iMe8SOB6z3NoHE2OfXl,audio_features,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,0.607,Love.,Kendrick Lamar Featuring Zacari,18,90,2241743
0,0.15,https://api.spotify.com/v1/audio-analysis/6z6CGFbowofeJZCMmJ7Qnc,0.633,210747,0.732,6z6CGFbowofeJZCMmJ7Qnc,0.0,8,0.0737,-2.989,1,0.0306,126.946,4,https://api.spotify.com/v1/tracks/6z6CGFbowofeJZCMmJ7Qnc,audio_features,spotify:track:6z6CGFbowofeJZCMmJ7Qnc,0.813,Love Done Gone,Billy Currington,58,75,594147
0,0.21,https://api.spotify.com/v1/audio-analysis/2VjtYe7gpfUi2OkGxR2O2z,0.767,211859,0.671,2VjtYe7gpfUi2OkGxR2O2z,1.12e-05,9,0.129,-6.416,0,0.142,128.072,4,https://api.spotify.com/v1/tracks/2VjtYe7gpfUi2OkGxR2O2z,audio_features,spotify:track:2VjtYe7gpfUi2OkGxR2O2z,0.474,Made Me,Snootie Wild Featuring K Camp,93,96,7798129
0,0.00227,https://api.spotify.com/v1/audio-analysis/2IjgKCbrk8CtqmsOC5DhVd,0.861,257867,0.715,2IjgKCbrk8CtqmsOC5DhVd,0.0,11,0.144,-4.393,0,0.301,148.971,4,https://api.spotify.com/v1/tracks/2IjgKCbrk8CtqmsOC5DhVd,audio_features,spotify:track:2IjgKCbrk8CtqmsOC5DhVd,0.535,F**k That Check Up,Meek Mill Featuring Lil Uzi Vert,97,84,1348973
0,0.0491,https://api.spotify.com/v1/audio-analysis/1OOtq8tRnDM8kG2gqUPjAj,0.779,258040,0.867,1OOtq8tRnDM8kG2gqUPjAj,7.98e-06,3,0.197,-3.704,0,0.0457,138.858,4,https://api.spotify.com/v1/tracks/1OOtq8tRnDM8kG2gqUPjAj,audio_features,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,0.915,Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,52,87,4082885
0,0.22,https://api.spotify.com/v1/audio-analysis/2djY65hifu2a4R2WqcXqKL,0.623,270000,0.716,2djY65hifu2a4R2WqcXqKL,2.54e-06,11,0.113,-7.449,0,0.207,116.914,4,https://api.spotify.com/v1/tracks/2djY65hifu2a4R2WqcXqKL,audio_features,spotify:track:2djY65hifu2a4R2WqcXqKL,0.203,Kyoto,Skrillex Featuring Sirah,74,72,211078
0,0.00661,https://api.spotify.com/v1/audio-analysis/2ISSQPb9LHHiV6ng2NXosL,0.631,218293,0.829,2ISSQPb9LHHiV6ng2NXosL,4.29e-05,11,0.0784,-4.094,0,0.0279,127.985,4,https://api.spotify.com/v1/tracks/2ISSQPb9LHHiV6ng2NXosL,audio_features,spotify:track:2ISSQPb9LHHiV6ng2NXosL,0.533,Beautiful Now,Zedd Featuring Jon Bellion,64,86,1924833
0,0.0339,https://api.spotify.com/v1/audio-analysis/0mMR63GfhjpxT02rIdq5Mz,0.447,224067,0.896,0mMR63GfhjpxT02rIdq5Mz,0.0,9,0.882,-5.57,1,0.173,173.852,4,https://api.spotify.com/v1/tracks/0mMR63GfhjpxT02rIdq5Mz,audio_features,spotify:track:0mMR63GfhjpxT02rIdq5Mz,0.533,Gonna Know We Were Here,Jason Aldean,54,80,1688501
0,0.207,https://api.spotify.com/v1/audio-analysis/7F9vK8hNFMml4GtHsaXui6,0.683,190428,0.53,7F9vK8hNFMml4GtHsaXui6,0.0,5,0.394,-4.918,0,0.142,75.016,4,https://api.spotify.com/v1/tracks/7F9vK8hNFMml4GtHsaXui6,audio_features,spotify:track:7F9vK8hNFMml4GtHsaXui6,0.645,Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,40,84,553231
0,0.0813,https://api.spotify.com/v1/audio-analysis/2a1o6ZejUi8U3wzzOtCOYw,0.467,198773,0.92,2a1o6ZejUi8U3wzzOtCOYw,0.0,0,0.0494,-4.78,1,0.239,130.012,4,https://api.spotify.com/v1/tracks/2a1o6ZejUi8U3wzzOtCOYw,audio_features,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,0.849,Danza Kuduro,Don Omar & Lucenzo,82,83,1664252
0,0.0365,https://api.spotify.com/v1/audio-analysis/1bAvtmTl0F9loyz9AwPwp7,0.663,281147,0.492,1bAvtmTl0F9loyz9AwPwp7,0.000473,0,0.582,-9.811,0,0.0526,90.976,4,https://api.spotify.com/v1/tracks/1bAvtmTl0F9loyz9AwPwp7,audio_features,spotify:track:1bAvtmTl0F9loyz9AwPwp7,0.32,Losers,The Weeknd Featuring Labrinth,85,95,8247282
0,0.103,https://api.spotify.com/v1/audio-analysis/5BtS8w1kkjLV1BbvB0t12u,0.45,227987,0.795,5BtS8w1kkjLV1BbvB0t12u,0.0,10,0.166,-4.249,1,0.0355,151.884,4,https://api.spotify.com/v1/tracks/5BtS8w1kkjLV1BbvB0t12u,audio_features,spotify:track:5BtS8w1kkjLV1BbvB0t12u,0.364,Lonely Tonight,Blake Shelton Featuring Ashley Monroe,47,74,512295
0,0.0317,https://api.spotify.com/v1/audio-analysis/0PcLrZITBBSQKKrufVKFJI,0.95,134667,0.707,0PcLrZITBBSQKKrufVKFJI,0.0,7,0.092,-5.826,1,0.166,129.993,4,https://api.spotify.com/v1/tracks/0PcLrZITBBSQKKrufVKFJI,audio_features,spotify:track:0PcLrZITBBSQKKrufVKFJI,0.877,EW!,Jimmy Fallon Featuring will.i.am,26,43,31244
0,0.466,https://api.spotify.com/v1/audio-analysis/4tVEJTR4VgBvvb2R6phA2v,0.485,482360,0.441,4tVEJTR4VgBvvb2R6phA2v,0.000936,1,0.485,-8.248,0,0.0775,140.009,4,https://api.spotify.com/v1/tracks/4tVEJTR4VgBvvb2R6phA2v,audio_features,spotify:track:4tVEJTR4VgBvvb2R6phA2v,0.511,Pusher Love Girl,Justin Timberlake,64,86,4864957
0,0.189,https://api.spotify.com/v1/audio-analysis/3kkObn08oHrNmCFHSNR0jD,0.858,108213,0.435,3kkObn08oHrNmCFHSNR0jD,0.0,6,0.0925,-11.286,1,0.0661,141.993,4,https://api.spotify.com/v1/tracks/3kkObn08oHrNmCFHSNR0jD,audio_features,spotify:track:3kkObn08oHrNmCFHSNR0jD,0.704,Flex (Ooh Ooh Ooh),Rich Homie Quan,26,91,1099870
0,0.0922,https://api.spotify.com/v1/audio-analysis/1AcJJerSHcXCnevx9oSoWe,0.83,207013,0.341,1AcJJerSHcXCnevx9oSoWe,1.76e-06,4,0.113,-10.625,0,0.0693,100.001,4,https://api.spotify.com/v1/tracks/1AcJJerSHcXCnevx9oSoWe,audio_features,spotify:track:1AcJJerSHcXCnevx9oSoWe,0.427,Wait For A Minute,Tyga & Justin Bieber,68,83,2387688
0,0.115,https://api.spotify.com/v1/audio-analysis/57JVGBtBLCfHw2muk5416J,0.951,214653,0.53,57JVGBtBLCfHw2muk5416J,0.179,5,0.17,-6.594,0,0.178,109.979,4,https://api.spotify.com/v1/tracks/57JVGBtBLCfHw2muk5416J,audio_features,spotify:track:57JVGBtBLCfHw2muk5416J,0.699,Dust,Eli Young Band,79,87,5122021
0,0.00225,https://api.spotify.com/v1/audio-analysis/3BnBKNItMng824sLx0pUfy,0.687,229439,0.871,3BnBKNItMng824sLx0pUfy,0.00708,0,0.134,-5.531,1,0.0689,115.0,4,https://api.spotify.com/v1/tracks/3BnBKNItMng824sLx0pUfy,audio_features,spotify:track:3BnBKNItMng824sLx0pUfy,0.539,A Light That Never Comes,Linkin Park X Steve Aoki,65,92,6054029
