SongTitle,Title,PeakPos
Sandcastles,Beyonce,43
Hope You Get Lonely Tonight,Cole Swindell,50
Lemme See,Usher Featuring Rick Ross,46
Heaven,Jake Worthington,98
Change Locations,Drake & Future,82
Body 2 Body,Ace Hood Featuring Chris Brown,65
Shameless,The Weeknd,79
So Special,Lil Wayne Featuring John Legend,95
2 Phones,Kevin Gates,17
Confession,Florida Georgia Line,53
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",27
Strange Clouds,B.o.B Featuring Lil Wayne,7
Loser Like Me,Glee Cast,6
Lighters,Bad Meets Evil Featuring Bruno Mars,4
Again,Fetty Wap,33
A Little More Summertime,Jason Aldean,52
Gold On The Ceiling,The Black Keys,94
Fake Love,Drake,8
How Deep Is Your Love,Calvin Harris & Disciples,27
Racks,YC Featuring Future,42
Passionfruit,Drake,8
Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",36
Alone,Marshmello,60
Foreign,Trey Songz,84
Angel In Blue Jeans,Train,79
No Love,August Alsina,69
All That Matters,Justin Bieber,24
Shine On,Sawyer Fredericks,99
I Just Had Sex,The Lonely Island Featuring Akon,30
Let It Rain,David Nail Featuring Sarah Buxton,51
The Heart Of Dixie,Danielle Bradbery,58
When I'm Gone,Wiz Khalifa,57
You Don't Own Me,Grace Featuring G-Eazy,57
Constant Craving,Glee Cast,89
Loca,Shakira Featuring Dizzee Rascal,32
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,12
3500,Travi$ Scott Featuring Future & 2 Chainz,82
Lean & Dabb,iLoveMemphis,98
Caroline,Amine,11
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",8
Close Your Eyes,Parmalee,69
Mama's Broken Heart,Miranda Lambert,20
Scars To Your Beautiful,Alessia Cara,8
Love This Life,T.I.,81
Luv,Tory Lanez,19
Take It On Back,Chase Bryant,82
What Makes You Beautiful,One Direction,4
Le Jazz Hot,Glee Cast,94
Royals,Lorde,100
If It's Love,Train,34
Moment 4 Life,Nicki Minaj Featuring Drake,13
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,5
Afire Love,Ed Sheeran,37
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,9
Regret In Your Tears,Nicki Minaj,61
Ai Se Eu Te Pego,Michel Telo,81
Uptown Girl,Glee Cast,68
Rocketeer,Far*East Movement Featuring Ryan Tedder,7
I Want You To Know,Zedd Featuring Selena Gomez,17
When Doves Cry,Prince,1
You Make Me Feel...,Cobra Starship Featuring Sabi,7
Dark Horse,Katy Perry Featuring Juicy J,1
Pop Style,Drake Featuring The Throne,16
Used To,Drake Featuring Lil Wayne,84
Jocelyn Flores,XXXTentacion,31
Best Friends,Sophia Grace,87
No Tellin',Drake,81
Don't Get Too High,Bryson Tiller,89
As Long As You're There,Glee Cast,93
Young & Crazy,Frankie Ballard,55
Back To Black,Glee Cast,82
Anything Goes,Florida Georgia Line,55
Scream & Shout,will.i.am & Britney Spears,3
Born To Be Somebody,Justin Bieber,74
Loveeeeeee Song,Rihanna Featuring Future,55
Never Say Never,Justin Bieber Featuring Jaden Smith,8
Go Get It,T.I.,77
Princess Of China,Coldplay Featuring Rihanna,20
Girls Chase Boys,Ingrid Michaelson,52
No Heart,21 Savage & Metro Boomin,43
Can't Stop Dancin',Becky G,88
Rich As F**k,Lil Wayne Featuring 2 Chainz,38
Alone Together,Fall Out Boy,71
Birthday Cake,Rihanna Featuring Chris Brown,24
No,Meghan Trainor,3
So Many Girls,"DJ Drama Featuring Wale, Tyga & Roscoe Dash",90
Like I Loved You,Brett Young,67
Party,Chris Brown Featuring Usher & Gucci Mane,50
Adore You,Miley Cyrus,21
Promises,NERO,70
Needed Me,Rihanna,7
Reflektor,Arcade Fire,99
Chillin' Like A Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope",95
Selfish,PnB Rock,51
A Thousand Years (Part 2),Christina Perri Featuring Steve Kazee,53
Rain Over Me,Pitbull Featuring Marc Anthony,30
The Weekend,Brantley Gilbert,64
Beez In The Trap,Nicki Minaj Featuring 2 Chainz,48
Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",56
Real Life,Jake Owen,74
American Oxygen,Rihanna,78
Karate Chop (Remix),Future Featuring Lil Wayne,82
Tom Ford,JAY-Z,39
Both Of Us,B.o.B Featuring Taylor Swift,18
The Race,Tay-K,66
Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,14
The Weekend,SZA,64
The Fighter,Gym Class Heroes Featuring Ryan Tedder,38
Games,Luke Bryan,92
The Trouble With Girls,Scotty McCreery,55
The Man Who Can't Be Moved,Xenia,92
Dark Queen,Lil Uzi Vert,91
S&M,Rihanna Featuring Britney Spears,1
DNA.,Kendrick Lamar,4
Any Ol' Barstool,Jason Aldean,52
Darte Un Beso,Prince Royce,78
I Won't Let Go,Rascal Flatts,31
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,29
If This Was A Movie,Taylor Swift,10
Helium,Sia,71
Tattoos On This Town,Jason Aldean,38
Somebody To Love,Glee Cast,62
Doin' What She Likes,Blake Shelton,35
Headlights,Eminem Featuring Nate Ruess,45
Holland Road,Mumford & Sons,84
Stargirl Interlude,The Weeknd Featuring Lana Del Rey,61
Something In The Way You Move,Ellie Goulding,43
It's Goin' Down,Descendants 2 Cast,77
Bring It Back,Travis Porter,75
Middle,DJ Snake Featuring Bipolar Sunshine,20
Hood Go Crazy,Tech N9Ne Featuring 2 Chainz & B.o.B,90
Dance (A$$),Big Sean Featuring Nicki Minaj,10
Booty Wurk (One Cheek At A Time),T-Pain Featuring Joey Galaxy,44
Radioactive,Kings Of Leon,37
You Changed Me,Jamie Foxx Featuring Chris Brown,93
Paradise,Big Sean,99
Somewhere Only We Know,Glee Cast,42
E.T.,Katy Perry Featuring Kanye West,1
Promise,Romeo Santos Featuring Usher,83
Blessed Up,Meek Mill,97
Ours,Taylor Swift,13
Love On The Weekend,John Mayer,53
Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink",90
Mrs. Right,Mindless Behavior Featuring Diggy,72
Drummer Boy,Justin Bieber Featuring Busta Rhymes,86
Got 2 Luv U,Sean Paul Featuring Alexis Jordan,84
Selfish,Future Featuring Rihanna,51
Pursuit Of Happiness (Nightmare),Kid Cudi Featuring MGMT & Ratatat,59
Wasting All These Tears,Cassadee Pope,37
Be Alright,Ariana Grande,43
Boom,Snoop Dogg Featuring T-Pain,76
Downtown,Lady Antebellum,29
The Christmas Song (Merry Christmas To You),Nat King Cole,38
Beautiful Lasers (2 Ways),Lupe Fiasco Featuring MDMA,70
Infinity,One Direction,82
Lullaby,Nickelback,89
Otis,Jay Z Kanye West Featuring Otis Redding,12
Kisses Down Low,Kelly Rowland,72
Dangerous Woman,Ariana Grande,8
Patty Cake,Kodak Black,76
Get Her Back,Robin Thicke,82
Think Like A Man,Jennifer Hudson & Ne-Yo Featuring Rick Ross,90
Party Monster,The Weeknd,16
Timber,Pitbull Featuring Ke$ha,1
We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte,59
Bullets In The Gun,Toby Keith,83
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,13
Make Love,Gucci Mane & Nicki Minaj,78
Sunshine & Whiskey,Frankie Ballard,57
Scream,Usher,9
Strong,One Direction,87
Don't Wanna Go Home,Jason Derulo,14
Good Drank,2 Chainz x Gucci Mane x Quavo,70
Call On Me,Starley,65
21st Century Girl,Willow,99
Do You Wanna Touch Me (Oh Yeah),Glee Cast Featuring Gwyneth Paltrow,57
I Took A Pill In Ibiza,Mike Posner,4
American Girl,Bonnie McKee,87
What We Ain't Got,Jake Owen,89
No Lie,2 Chainz Featuring Drake,24
U Smile,Justin Bieber,27
Kids,OneRepublic,96
Help Is On The Way,Rise Against,89
Blue Notes,Meek Mill,93
One,Usher & Michelle Chamuel,98
Lay Me Down,Sam Smith,8
4:44,JAY-Z,35
Sanctified,Rick Ross Featuring Kanye West & Big Sean,78
It Girl,Jason Derulo,17
Leave The Night On,Sam Hunt,30
Please Don't Go,Mike Posner,16
Somewhere On A Beach,Dierks Bentley,35
Memories,David Guetta Featuring Kid Cudi,46
When We Stand Together,Nickelback,44
Have Yourself A Merry Little Christmas,Sam Smith,90
Bag Of Money,"Wale Featuring Rick Ross, Meek Mill & T-Pain",64
Hello,Martin Solveig & Dragonette,62
Tonight Tonight,Hot Chelle Rae,7
Story Of My Life,One Direction,6
Drive,Miley Cyrus,87
I Like It Like That,Hot Chelle Rae Featuring New Boyz,28
Redbone,Childish Gambino,12
Peter Pan,Kelsea Ballerini,35
(Kissed You) Good Night,Gloriana,34
Wildest Dreams,Taylor Swift,5
Burn Slow,Wiz Khalifa Featuring Rae Sremmurd,83
Classic,MKTO,14
No Church In The Wild,Jay Z Kanye West Featuring Frank Ocean,72
Homegrown Honey,Darius Rucker,53
Helluva Life,Frankie Ballard,51
She's Mine Pt.1,J. Cole,22
Often,The Weeknd,59
Mutha***** Up,Tyga Featuring Nicki Minaj,74
Animal,Neon Trees,62
Watch Me,Silento,86
Walking On A Dream,Empire Of The Sun,65
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",1
The Blacker The Berry,Kendrick Lamar,66
Not A Bad Thing,Justin Timberlake,8
Young And Beautiful,Lana Del Rey,22
Digital Dash,Drake & Future,62
A Little Bit Stronger,Sara Evans,34
I Don't Get Tired (#IDGT),Kevin Gates Featuring August Alsina,90
Monster,Paramore,96
Perfect,Ed Sheeran,57
Burn It Down,Linkin Park,30
Die In Your Arms,Justin Bieber,17
Just Can't Get Enough,The Black Eyed Peas,3
Sledgehammer,Fifth Harmony,40
Love Is An Open Door,Kristen Bell & Santino Fontana,49
I Won't Give Up,Jason Mraz,75
Girls Talk Boys,5 Seconds Of Summer,68
Don't Go Breaking My Heart,Glee Cast,50
For The First Time In Forever,Kristen Bell & Idina Menzel,57
Remedy,Adele,87
Super Trapper,Future,91
Cost Of Livin',Ronnie Dunn,86
Know Yourself,Drake,53
Gucci Gang,Lil Pump,14
Comfortable,K Camp,54
Let It Go,Idina Menzel,87
Flicka Da Wrist,Chedda Da Connect,94
Shake Senora,Pitbull Featuring T-Pain & Sean Paul,69
Far Away,Marsha Ambrosius,86
Brother,NEEDTOBREATHE Featuring Gavin DeGraw,98
THat Part,ScHoolboy Q Featuring Kanye West,40
Owe Me,Big Sean,86
Wasted Time,Keith Urban,51
Look At Me!,XXXTentacion,34
Want U Back,Cher Lloyd,12
Only One,Kanye West Featuring Paul McCartney,35
Ville Mentality,J. Cole,24
Skepta Interlude,Drake,76
Firestone,Kygo Featuring Conrad,92
Don't Stop,Glee Cast,79
My Way,Fetty Wap Featuring Monty,24
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,71
Hallelujah,Panic! At The Disco,81
4 Your Eyez Only,J. Cole,29
When I Was Your Man,Bruno Mars,98
It's Not Right But It's Okay,Glee Cast,92
Blank Space,Taylor Swift,90
Father Stretch My Hands Pt. 1,Kanye West,37
I Do,Young Jeezy Featuring Jay-Z & Andre 3000,61
Stay,Zedd & Alessia Cara,28
Not Nice,PARTYNEXTDOOR,82
Call Me Maybe,Carly Rae Jepsen,1
Back It Up,Prince Royce Featuring Jennifer Lopez & Pitbull,92
Perfume,Britney Spears,76
All Around The World,Justin Bieber Featuring Ludacris,22
Thinkin Bout You,Frank Ocean,32
Sweet Nothing,Calvin Harris Featuring Florence Welch,10
Love You Like That,Canaan Smith,46
Hide Away,Daya,23
A Lonely Night,The Weeknd,69
More Than Miles,Brantley Gilbert,73
No Long Talk,Drake Featuring Giggs,40
Lost Stars,Matt McAndrew & Adam Levine,83
Loving You No More,Diddy - Dirty Money Featuring Drake,91
The Catalyst,Linkin Park,27
Hold My Hand,Michael Jackson Duet With Akon,86
Closer,The Chainsmokers Featuring Halsey,90
Hymn For The Weekend,Coldplay,25
Untitled 02 l 06.23.2014.,Kendrick Lamar,79
Video Games,Lana Del Rey,91
Get Your Shine On,Florida Georgia Line,27
Oh Santa!,Mariah Carey,100
Oh Love,Green Day,97
Angel,Akon,87
Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett,67
Meanwhile Back At Mama's,Tim McGraw Featuring Faith Hill,41
Today,Brad Paisley,67
The Lazy Song,Bruno Mars,4
Human,Rag'n'Bone Man,74
May We All,Florida Georgia Line Featuring Tim McGraw,30
Six Feet Under,The Weeknd,34
Bored To Death,Blink-182,85
Clarity,Zedd Featuring Foxes,8
Miss Jackson,Panic! At The Disco Featuring Lolo,68
Sure Thing,Miguel,36
Mercy,Dave Matthews Band,95
Dark Times,The Weeknd Featuring Ed Sheeran,91
Ready To Run,One Direction,77
Take Your Time,Sam Hunt,20
Wild Life,Jack & Jack,87
Feeling Myself,Nicki Minaj Featuring Beyonce,39
Make You Miss Me,Sam Hunt,45
Hollow,Tori Kelly,68
The Days,Avicii,78
Come Join The Murder,The White Buffalo & The Forest Rangers,93
Sad,Amber Carrington,92
Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin",77
RGF Island,Fetty Wap,57
Sleazy Remix 2.0 Get Sleazier,"Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000",37
PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,77
