"","athlete.sex","type","average_speed","distance","total_elevation_gain"
"1","F","Ride",3.022,21580,476.3
"2","M","Ride",4.062,19092.8,456.9
"3","M","Ride",5.397,23023.4,292.2
"4","F","Ride",6.314,101702,1273.3
"5","F","Hike",1.629,2739.8,166.6
"6","M","Ride",5.868,13056.7,81.4
"7","M","Ride",4.675,24438.8,303
"8","F","Run",3.22,4814,48.8
"9","M","Ride",6.685,33632.8,301
"10","F","Ride",3.084,15818.6,252.9
"11","F","Run",2.573,16014.5,533.3
"12","F","Run",2.376,3157.1,37.1
"13","M","Ride",5.866,10628.8,56.4
"14","M","Ride",7.797,62910.9,384.7
"15","M","Ride",6.124,28765.1,241.8
"16","M","Ride",9.249,69559.8,383.8
"17","M","Run",2.973,41926.3,810.4
"18","F","Ride",6.75,43609.3,556
"19","F","Ride",4.481,25781.1,279.4
"20","F","Run",3.084,8371.3,71
"21","M","Ride",7.18,48415.5,103.8
"22","M","Run",2.881,6042.5,19
"23","M","Ride",7.531,34499.3,258.9
"24","M","Ride",7.331,63273.8,1224.2
"25","M","Ride",4.953,54424.2,449
"26","F","Run",2.932,6063.5,57.9
"27","M","Ride",3.675,782.7,0
"28","M","Ride",5.832,24402.2,359
"29","M","Ride",3.409,40447.3,399.5
"30","F","Run",2.664,9980.4,89.9
"31","M","Ride",7.503,40770.9,247
"32","F","Run",2.634,7000.6,21.7
"33","F","Ride",5.188,13754.3,40.4
"34","F","Snowshoe",0.713,3369.6,639.2
"35","F","Run",2.667,15059.3,77.3
"36","F","Walk",1.401,3981.6,11.5
"37","M","Ride",6.174,13971,253.9
"38","M","Ride",6.582,116055,1298
"39","F","Run",2.748,4748.6,26.7
"40","F","Ride",4.787,11235.5,119
"41","F","Run",2.497,4987.2,25.9
"42","M","Run",2.361,14343.4,226.2
"43","F","Run",2.747,8055,118.9
"44","F","Run",2.416,10697.6,110
"45","M","Run",2.76,11390.8,31.4
"46","M","Ride",3.57,30824,264.9
"47","F","Run",2.724,3506.1,51.3
"48","M","Run",2.768,15183.8,65.4
"49","M","Ride",7.867,118659,1762.8
"50","F","Run",2.644,10585,57.4
"51","M","Run",3.296,16009.5,69.4
"52","F","Ride",6.01,7717.1,95.4
"53","M","Ride",7.47,39429,268
"54","M","Ride",5.672,48252.3,660
"55","F","Run",3.279,4812.9,0
"56","M","Ride",7.464,18160,206
"57","M","Ride",6.098,96676.3,1600.9
"58","M","Ride",8.114,30637.1,96
"59","F","Ride",6.33,9615.6,63
"60","F","Run",2.358,12984.2,74.9
"61","M","Ride",5.678,74454.8,2436
"62","M","Ride",4.765,13126.2,123
"63","M","Ride",4.735,4062.4,23.5
"64","M","Ride",8.358,49556.6,197
"65","M","Ride",5.714,36366.9,261.9
"66","F","Ride",2.29,7015.4,10.5
"67","F","Ride",6.347,49422,85.1
"68","M","Ride",5.689,7680.1,26.4
"69","F","Ride",5.207,9934.2,0
"70","M","Ride",6.944,31972,407
"71","M","Ride",8.01,30045.5,110
"72","F","Run",2.863,3661.4,39
"73","F","Ride",6.515,17159.5,0
"74","F","Run",3.151,5467.5,0
"75","M","Ride",8.042,11130.4,50.8
"76","F","Run",2.339,9265.8,177.7
"77","M","Ride",6.259,65342.2,629.6
"78","F","Ride",6.699,59125.2,232
"79","F","Ride",5.904,8206.7,13.7
"80","F","Run",1.193,4661.9,0
"81","M","Ride",6.102,12143.1,99.6
"82","F","Run",2.6,16108.8,103.4
"83","M","Run",2.032,6131.4,50.1
"84","M","Ride",7.178,46609.8,949.7
"85","M","Ride",11.173,13720.3,182
"86","M","Walk",1.075,7214,0
"87","M","Ride",6.638,25969.4,76.7
"88","M","Run",3.038,7976.9,0
"89","F","Ride",7.069,41671.8,928
"90","M","Ride",6.144,22894,245.2
"91","M","Run",4.174,7513.6,18
"92","F","Run",2.523,5002.5,40.2
"93","F","Ride",9.024,96724.4,149
"94","F","Ride",4.824,44429.6,632.6
"95","F","Run",3.117,3385.1,0
"96","F","Ride",7.847,61213.9,160
"97","F","Run",3.498,5359.5,110
"98","F","Run",2.626,6916.8,115.9
"99","M","Run",2.751,9063.9,64.9
"100","M","Ride",8.668,18653.9,0
"101","M","Ride",4.721,32104.2,600.8
"102","F","Run",3.639,7933.3,34.3
"103","F","Ride",5.669,20914.1,99.7
"104","M","Ride",3.303,27844.6,903
"105","F","Run",2.994,4364.6,42.1
"106","F","Run",2.776,6020.5,75.7
"107","F","Ride",3.47,29533.3,127.2
"108","M","Ride",4.984,20460.3,129
"109","F","Run",1.846,3414,29.1
"110","M","Ride",6.636,45233.4,0
"111","F","Ride",3.708,41566.3,1006.8
"112","M","Ride",4.788,76862.6,1687
"113","F","Run",3.323,4991.2,0
"114","M","Ride",7.603,745.1,12.3
"115","F","Run",3.09,8095.4,0
"116","M","Ride",2.338,5895.2,108.2
"117","M","Ride",4.648,3774.1,12.2
"118","F","Run",2.782,3344.5,91
"119","M","Run",1.701,6285.7,23.9
"120","M","Ride",4.131,36584.5,645.8
"121","F","Run",0.864,2696.1,0
"122","F","Run",1.827,4292.6,0
"123","M","Run",3.001,8958.7,12.6
